ID,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
1,Stability Ball Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Supine,Single Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
2,Bodyweight Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,1.0,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
3,Bodyweight Bird Dog,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Quadruped,Single Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
4,Stability Ball Russian Twist ,Video Demonstration,Video Explanation,Beginner,Abdominals,Obliques,Rectus Abdominis,,Stability Ball,1.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
5,Stability Ball Feet Elevated Crunch ,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*
6,Ring Hanging Knee Raise ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
7,Parallette Mountain Climber,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Parallette Bars,2.0,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
8,Parallette Push Up,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2.0,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
9,Bodyweight Knee Hover Bird Dog,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
10,Stability Ball V Up Pass,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Supine,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
